Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,288819,227602,172348,29386,3593,28567,62904,89451,74638,85663,116956,133574,1313501,262438,240259,219655,49651,3383,37969,79593,94111,84260,97835,126622,199431,1495207,24676,23756,24593,7265,23,4777,9818,11448,8869,9531,12681,16642,154079
Soekarno Hatta-Jakarta,1600594,1551967,1211697,191002,27500,174352,427731,574597,500591,601391,828893,931481,8621796,1732689,1592390,1118256,165377,33688,182419,415799,584943,480555,577226,821804,911015,8616161,40206,44266,23845,5128,680,5640,3239,2785,9770,7502,5276,104083,252420
Juanda-Surabaya,553747,481881,408725,97748,5397,64137,121240,186467,162402,182889,238036,244579,2747248,595683,543606,458981,120498,9261,80239,175638,203679,180097,223074,277101,314422,3182279,68844,65249,64552,17683,246,10987,30843,35707,28941,32381,43002,42781,441216
Hasanudin-Makassar,308503,273885,230917,49046,6663,40508,79957,134043,129773,156486,193428,194363,1797572,408051,398169,353110,75368,5929,80713,163658,236057,230064,264948,334355,359709,2910131,170672,172643,144716,35023,2084,40275,83239,118438,108788,121914,160330,161346,1319468
Ngurah Rai-Bali,453130,346962,253517,44122,2423,11396,41375,83260,80930,99469,169655,161346,1747585,390425,346328,228835,29193,2673,6446,35802,86225,88588,121696,170247,228945,1735403,29900,31342,31038,8310,3,602,68,2632,7570,9798,11009,13657,145929
Bandara Lainnya,3089453,2903333,2302771,426796,41432,299419,724644,918082,946266,1097102,1419232,1996057,16164587,3157670,2768351,2439415,512498,31218,297824,701006,978666,1013436,1203921,1484771,1989278,16578054,173153,152302,145546,38936,1164,32839,76346,89957,81613,87344,101303,166576,1147079
TOTAL,6294246,5785630,4579975,838100,87008,618379,1457851,1985900,1894600,2223000,2966200,3661400,32392289,6546956,5889103,4818252,952585,86152,685610,1571496,2183681,2077000,2488700,3214900,4002800,34517235,507451,489558,434290,112345,4200,95120,203553,260967,245551,268470,333601,505085,3460191