Bandara Utama Internasional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Internasional di 4 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,91868,92782,77563,100796,90322,100076,88189,90201,95557,88873,89206,110782,1116215,94184,91930,85589,98730,84987,92341,106889,90849,95780,93981,92884,109751,1137895,-,2,2,-,2,32,-,-,-,-,1,-,39
Soekarno Hatta-Jakarta,650043,623149,609907,653900,652622,653964,660180,774041,750773,726088,717749,822807,8295223,656024,605670,625426,668869,619175,646968,783808,710377,706871,711522,717615,746162,8198487,3683,2068,813,425,868,947,1520,1374,1540,2914,1447,3108,20707
Juanda-Surabaya,100725,94571,84187,94411,89035,75692,83210,112990,104265,95116,93615,98679,1126496,101459,101027,108838,99808,86009,76848,111053,107492,104021,99413,96863,100540,1193371,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,525077,491204,487215,549136,605275,615636,659161,687823,649636,651246,558811,562465,7042685,480157,500552,509064,558179,585999,620207,678370,653999,642785,612283,528845,612155,6982595,12904,10164,5535,3530,1882,2117,3928,2019,2185,3460,4872,9009,61605
Bandara Lainnya,115087,112694,88528,101657,176046,124732,101460,124545,115169,116477,111819,129767,1417981,112666,113053,98236,104372,89715,121637,176227,113395,117721,116596,114905,1551112,1402311,592,524,723,222,366,357,386,901,662,210,21,134,5098
TOTAL,1482800,1414400,1347400,1499900,1613300,1570100,1592200,1789600,1715400,1677800,1571200,1724500,18998600,1444490,1412232,1427153,1529958,1465885,1558001,1856347,1676112,1667178,1633795,123788,1692396,18914659,17179,12758,7073,4177,3118,3453,5834,4294,4387,6584,6341,12251,87449