Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,288819,227602,172348,29386,3593,28567,62904,89451,74638,85663,116956,133574,1313501,96538,63610,25325,616,182,383,357,222,279,217,234,510,188473
Soekarno Hatta-Jakarta,1600594,1551967,1211697,191002,27500,174352,427731,574597,500591,601391,828893,931481,8621796,626097,444267,187899,17499,9460,14619,22618,28513,32043,36549,42028,56330,1517922
Juanda-Surabaya,553747,481881,408725,97748,5397,64137,121240,186467,162402,182889,238036,244579,2747248,98475,71723,22324,1026,340,398,482,293,407,1620,1188,826,199102
Hasanudin-Makassar,308503,273885,230917,49046,6663,40508,79957,134043,129773,156486,193428,194363,1797572,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,453130,346962,253517,44122,2423,11396,41375,83260,80930,99469,169655,189289,1775528,641039,425633,274259,6752,1624,877,2117,1461,391,93,240,196,1354682
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-