NO,NAMA BADAN USAHA
1,PT. SINAR MAS SUPER AIR
2,YAYASAN MAF INDONESIA (MISSION AVIATION FELLOWSHIP)
3,YAYASAN PELAYANAN PENERBANGAN TARIKU (YPPT)
4,YAYASAN JASA AVIASI INDONESIA
5,ADVENTIST AVIATION INDONESIA
6,YAYASAN HELIVIDA
7,PT. NATIONAL AVIATION MANAGEMENT
8,PT. ALFA FLYING SCHOOL
9,PT. AERO FLYER INSTITUTE
10,PT. BALI WIDYA DIRGANTARA
11,PT. MERPATI TRAINING CENTER
12,PT. DERAYA
13,PT. NUSA FLYING INTERNATIONAL
14,PT. BANDUNG INTERNASIONAL AVIATION
15,PT. SADHANA
16,PERKUMPULAN PENERBANGAN INDONESIA
17,PT. PROFLIGHT INDONESIA
18,PT. LOMBOK INSTITUTE OF FLIGHT TECHNOLOGY
19,PT. AVIASI SOLUSI PRIMA
20,PT. TRI MG INTRA AIRLINES
21,PT. AIR TRANSPORT SERVICES
22,PT. GENESA DIRGANTARA
23,PT. AVIATERRA DINAΜΙΚΑ
24,PT. DIRGANTARA AVIATION ENGINEERING
25,PT. MITRA AVIASI PERKASA
26,PT. AGRONUSA DIRGANTARA
27,PT. GLOBAL AVIASI
28,PT. ANGKASA SUPER SERVICES
29,PT. DIRGANTARA INDONESIA (PERSERO)
30,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN
31,PERKUMPULAN PENERBANGAN ALFA INDONESIA
32,BALAI BESAR TEKNOLOGI MODIFIKASI CUACA BADAN PENGKAJIAN DAN PENERAPAN TEKNOLOGI (BB-TMC BPPT)
33,AKADEMI PENERBANG INDONESIA BANYUWANGI (BALAI PENDIDIKAN DAN PELATIHAN PENERBANG BANYUWANGI (BP3B)
34,YAYASAN PUSDIRGA
35,PT. SPEKTRUM DATA GEOSURVEY
36,POLITEKNIK PENERBANGAN INDONESIA CURUG
37,PT. SINAR PHOENIK ANGKASA PRIMA
38,BLU BALAI KALIBRASI FASILITAS PENERBANGAN
39,PT. SOLO WINGS FLIGHT CLUB
40,YAYASAN MISI MASYARAKAT PEDALAMAN
41,PT. SURYA AVIASI INTERNASIONAL