propinsi_code,propinsi_name,airport_code,airport_name,year,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total,keterangan,
34,PAPUA BARAT DAYA,A,DOMINE EDUARD OSOK - SORONG,2020,4.057,4.279,8.336,301.206,314.639,615.845,36.484,2.486.447,2.652.814,5.139.261,2.470.174,2.347.139,4.817.313,95,1,96,Data 12 Bln,
34,PAPUA BARAT DAYA,A,DOMINE EDUARD OSOK - SORONG,2021,4.745,4.738,9.483,348.507,407.862,756.369,0,2.909.426,3.188.628,6.098.054,2.542.612,3.569.566,6.112.178,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,A,DOMINE EDUARD OSOK - SORONG,2022,6.002,6.128,12.130,566.680,357.583,924.263,283.882,5.303.165,5.464.779,10.767.944,3.264.686,3.934.191,7.198.877,7.457,351,7.808,Data 12 Bln,
34,PAPUA BARAT DAYA,A,DOMINE EDUARD OSOK - SORONG,2023,6.696,6.712,13.408,628.239,440.654,1.068.893,215.931,6.054.934,5.590.551,11.645.485,3.923.638,3.381.661,7.305.299,9.207,100,9.307,Data 12 Bln,
34,PAPUA BARAT DAYA,A,DOMINE EDUARD OSOK - SORONG,2024,6.634,6.642,13.276,575.817,496.692,1.072.509,104.245,5.642.201,5.108.222,10.750.423,3.879.592,3.196.613,7.076.205,7.480,0,7.480,Data 12 Bln,
34,PAPUA BARAT DAYA,B,TEMINABUAN,2020,97,97,194,338,501,839,1,1.373,2.059,3.432,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,B,TEMINABUAN,2021,284,284,568,1.710,2.349,4.059,10,9.683,11.468,21.151,249,179,428,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,B,TEMINABUAN,2022,271,284,555,1.928,2.354,4.282,11,10.318,12.491,22.809,400,200,600,0,11,11,Data 12 Bln,
34,PAPUA BARAT DAYA,B,TEMINABUAN,2023,208,206,414,1.709,1.744,3.453,0,10.076,10.061,20.137,77,252,329,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,B,TEMINABUAN,2024,364,363,727,2.559,2.865,5.424,1,8.881,11.422,20.303,22,406,428,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,C,AYAWASI,2020,73,72,145,133,321,454,0,1.270,805,2.075,38,30,68,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,C,AYAWASI,2021,137,129,266,326,775,1.101,0,2.728,2.184,4.912,413,9,422,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,C,AYAWASI,2022,102,102,204,267,447,714,0,477,1.210,1.687,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,C,AYAWASI,2023,89,89,178,245,495,740,0,1.419,1.349,2.768,0,0,0,2,0,2,Data 12 Bln,
34,PAPUA BARAT DAYA,C,AYAWASI,2024,157,158,315,537,937,1.474,0,1.881,1.495,3.376,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,D,INANWATAN,2020,81,81,162,323,448,771,0,3.218,1.274,4.492,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,D,INANWATAN,2021,187,187,374,891,1.237,2.128,0,7.943,3.549,11.492,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,D,INANWATAN,2022,200,200,400,1.319,1.609,2.928,0,12.159,6.202,18.361,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,D,INANWATAN,2023,149,148,297,1.104,1.339,2.443,0,10.339,7.548,17.887,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,D,INANWATAN,2024,257,257,514,1.468,2.004,3.472,0,14.668,7.510,22.178,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,E,KABARE,2020,44,45,89,173,323,0,1.087,1.894,2.981,0,0,0,0,0,0,Data 12 Bln,,
34,PAPUA BARAT DAYA,E,KABARE,2021,86,86,172,66,447,513,0,333,1.330,1.663,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,E,KABARE,2022,172,182,354,1.130,1.312,2.442,27,7.465,8.093,15.558,5,0,5,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,E,KABARE,2023,196,197,393,1.486,1.721,3.207,0,11.436,10.429,21.865,0,6,6,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,E,KABARE,2024,318,316,634,2.157,2.491,4.648,0,9.362,9.097,18.459,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,F,MARINDA/WAISAI,2020,97,97,194,423,335,758,0,2.036,1.643,3.679,5,0,5,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,F,MARINDA/WAISAI,2021,107,107,214,488,351,839,0,2.463,1.955,4.418,105,0,105,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,F,MARINDA/WAISAI,2022,110,114,224,804,734,1.538,0,7.317,4.886,12.203,0,5,5,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,F,MARINDA/WAISAI,2023,102,102,204,802,694,1.496,0,4.986,5.179,10.165,0,0,0,0,0,0,Data 12 Bln,
34,PAPUA BARAT DAYA,F,MARINDA/WAISAI,2024,160,160,320,1.100,947,2.047,0,3.604,3.805,7.409,221,221,442,0,0,0,Data 12 Bln,
35,PAPUA,A,FRANS KAISIEPO - BIAK (DOM),2020,1.721,1.721,3.442,61.213,59.473,120.686,29.858,588.472,519.000,1.107.472,431.312,131.907,563.219,0,11,11,Data 12 Bln,
35,PAPUA,A,FRANS KAISIEPO - BIAK (DOM),2021,1.996,1.995,3.991,72.664,71.499,144.163,40.922,761.530,636.032,1.397.562,535.332,243.568,778.900,0,0,0,Data 12 Bln,
35,PAPUA,A,FRANS KAISIEPO - BIAK (DOM),2022,2.019,2.020,4.039,103.475,105.353,208.828,99.228,974.557,826.350,1.800.907,502.397,281.935,784.332,42.149,14.709,56.858,Data 12 Bln,
35,PAPUA,A,FRANS KAISIEPO - BIAK (DOM),2023,1.661,1.662,3.323,108.587,110.269,218.856,78.673,967.921,840.158,1.808.079,456.388,344.951,801.339,-,-,-,Data 12 Bln,
35,PAPUA,A,FRANS KAISIEPO - BIAK (DOM),2024,1.383,1.386,2.769,97.277,128.854,226.131,29.072,1.004.595,868.931,1.873.526,469.176,267.397,736.573,286,0,286,Data 12 Bln,
